Date ,Close ,Delta,Delta Base,Tag
10-Jul-23,8957.3," 1,073 "," 1,573 ",Nifty Healthcare
10-Jul-23,52536.15," 5,593 "," 6,093 ",Nifty FMCG
10-Jul-23,25496.9," 2,290 "," 2,790 ",Nifty Energy
10-Jul-23,27095.4," 2,537 "," 3,037 ",Nifty Con Durable
10-Jul-23,44860.85,2225.1," 2,725 ",Nifty Bank
10-Jul-23,4433.5, 449 , 949 ,Nifty PSU Banks
11-Jul-23,526.85, 99 , 599 ,Nifty Realty
11-Jul-23,19969.35, 976 ," 1,476 ",Nifty Financial Services
11-Jul-23,15617.45, 214 , 714 ,Nifty Auto
11-Jul-23,13895.4," 1,441 "," 1,941 ",Nifty Pharma
11-Jul-23,22854.1," 1,297 "," 1,797 ",Nifty Private Bank
11-Jul-23,7977.15, 625 ," 1,125 ",Nifty Oil & Gas
11-Jul-23,6369.1, 666 ," 1,166 ",Nifty Metal
11-Jul-23,1881,197, 697 ,Nifty Media
11-Jul-23,29324.8," 2,311 "," 2,811 ",Nifty IT
11-Jul-23,9063.15," 1,179 "," 1,679 ",Nifty Healthcare
11-Jul-23,53184.4," 6,241 "," 6,741 ",Nifty FMCG
11-Jul-23,25720.15," 2,513 "," 3,013 ",Nifty Energy
11-Jul-23,27449," 2,890 "," 3,390 ",Nifty Con Durable
11-Jul-23,44745.05,2109.3," 2,609 ",Nifty Bank
11-Jul-23,4425.25, 441 , 941 ,Nifty PSU Banks
12-Jul-23,528.2, 100 , 600 ,Nifty Realty
12-Jul-23,19924.1, 931 ," 1,431 ",Nifty Financial Services
12-Jul-23,15614.9, (3), 497 ,Nifty Auto
12-Jul-23,13936.7," 1,482 "," 1,982 ",Nifty Pharma
12-Jul-23,22787.25," 1,230 "," 1,730 ",Nifty Private Bank
12-Jul-23,7990.95, 639 ," 1,139 ",Nifty Oil & Gas
12-Jul-23,6363.25, 660 ," 1,160 ",Nifty Metal
12-Jul-23,1889.85,206, 706 ,Nifty Media
12-Jul-23,29118.05," 2,104 "," 2,604 ",Nifty IT
12-Jul-23,9082.7," 1,199 "," 1,699 ",Nifty Healthcare
12-Jul-23,53279.5," 6,336 "," 6,836 ",Nifty FMCG
12-Jul-23,25700.65," 2,493 "," 2,993 ",Nifty Energy
12-Jul-23,27399.8," 2,841 "," 3,341 ",Nifty Con Durable
12-Jul-23,44639.45,2003.7," 2,504 ",Nifty Bank
12-Jul-23,4462, 478 , 978 ,Nifty PSU Banks
13-Jul-23,533.6, 106 , 606 ,Nifty Realty
13-Jul-23,20021.5," 1,029 "," 1,529 ",Nifty Financial Services
13-Jul-23,15519.7, (95), 405 ,Nifty Auto
13-Jul-23,13876.55," 1,422 "," 1,922 ",Nifty Pharma
13-Jul-23,22792.65," 1,235 "," 1,735 ",Nifty Private Bank
13-Jul-23,7897.55, 545 ," 1,045 ",Nifty Oil & Gas
13-Jul-23,6379.7, 676 ," 1,176 ",Nifty Metal
13-Jul-23,1854.35,170, 670 ,Nifty Media
13-Jul-23,29628.2," 2,615 "," 3,115 ",Nifty IT
13-Jul-23,9035.05," 1,151 "," 1,651 ",Nifty Healthcare
13-Jul-23,53029.95," 6,087 "," 6,587 ",Nifty FMCG
13-Jul-23,25334.4," 2,127 "," 2,627 ",Nifty Energy
13-Jul-23,27161.6," 2,603 "," 3,103 ",Nifty Con Durable
13-Jul-23,44665.05,2029.3," 2,529 ",Nifty Bank
13-Jul-23,4355.65, 371 , 871 ,Nifty PSU Banks
